EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,BEGIN_LAT,BEGIN_LON
9977284,ALABAMA,1,1967,December,Tornado,1,0,0,0,250K,0,0,,F1,12.6,33,34.7,-86.67
10092072,OKLAHOMA,40,1967,June,Tornado,1,0,4,0,250K,0,0,,F4,8.7,300,35.6,-99.38
10060671,MISSOURI,29,1967,December,Tornado,1,0,0,0,25K,0,0,,F2,1.5,50,36.7,-91.63
10071904,NEBRASKA,31,1967,June,Tornado,1,0,0,0,250K,0,0,,F2,26,33,41.75,-97.78
10067230,NEBRASKA,31,1967,June,Tornado,1,0,0,0,25K,0,0,,,40.1,33,40.18,-101.95
10093178,OKLAHOMA,40,1967,January,Tornado,6,0,0,0,25K,0,0,,F2,2,33,36.7,-95
10092090,OKLAHOMA,40,1967,June,Tornado,1,0,0,0,2.5M,0,0,,F3,16.7,33,35.85,-98.18
10123987,TENNESSEE,47,1967,December,Tornado,1,0,0,0,250K,0,0,,F2,10.3,7,36.48,-88.9
10048553,MISSISSIPPI,28,1967,December,Tornado,1,0,0,0,25K,0,0,,F1,2,33,30.7,-89.02
10048558,MISSISSIPPI,28,1967,December,Tornado,1,0,1,0,25K,0,0,,F2,0,33,34.73,-88.62
9982092,ARKANSAS,5,1967,December,Tornado,6,0,0,0,25K,0,0,,F2,3.8,833,35.35,-94.4
10004261,INDIANA,18,1967,December,Tornado,1,0,0,0,2.5K,0,0,,,0,33,39.7,-86.72
10004272,INDIANA,18,1967,December,Tornado,1,0,0,0,250K,0,0,,F3,0,33,40.48,-85.6
10112586,SOUTH CAROLINA,45,1967,December,Tornado,1,0,0,0,25K,0,0,,F2,10.5,93,34.15,-79.03
10004247,INDIANA,18,1967,October,Tornado,1,0,0,0,2.5K,0,0,,F2,0,33,39.58,-87.45
10004250,INDIANA,18,1967,October,Tornado,1,0,0,0,25K,0,0,,F3,0,33,38.48,-86.8
10009968,ILLINOIS,17,1967,January,Tornado,1,0,0,0,0K,0,0,,F1,4.5,30,40.1,-90.17
10033090,LOUISIANA,22,1967,October,Tornado,1,0,0,0,25K,0,0,,F2,0.2,10,29.35,-89.53
10012003,IOWA,19,1967,January,Tornado,6,0,1,0,250K,0,0,,F3,4.3,300,40.67,-91.32
10012005,IOWA,19,1967,January,Tornado,1,0,0,0,25K,0,0,,F2,2,150,41.2,-91.28
10060661,MISSOURI,29,1967,October,Tornado,1,0,0,0,25K,0,0,,F1,12.8,100,37.62,-89.98
10148077,WISCONSIN,55,1967,June,Tornado,1,0,0,0,250K,0,0,,F2,5.9,100,44.03,-88.17
9976189,ALABAMA,1,1967,October,Tornado,1,0,0,0,250K,0,0,,F3,11.9,100,34.8,-87.78
10161730,WYOMING,56,1967,June,Tornado,1,0,0,0,25K,0,0,,F1,0.5,17,42.95,-108.4
10133520,TEXAS,48,1967,June,Tornado,1,0,0,0,0K,0,0,,F2,2,67,33.6,-101.85
10123167,TENNESSEE,47,1973,December,Tornado,1,0,0,0,25K,0,0,,F1,0.5,440,36.17,-82.83
10114443,SOUTH CAROLINA,45,1973,December,Tornado,1,0,0,0,2.5M,0,0,,F3,4.1,200,34.27,-82.05
10094587,OKLAHOMA,40,1973,June,Tornado,1,0,0,0,25K,0,0,,F1,0.5,17,34.17,-97.13
10094608,OKLAHOMA,40,1973,June,Tornado,1,0,0,0,2.5K,0,0,,F1,3.8,50,34.8,-97.97
10087098,OHIO,39,1973,June,Tornado,1,0,0,0,25K,0,0,,F3,8.4,100,41.18,-81.33
10112157,SOUTH DAKOTA,46,1973,June,Tornado,1,0,1,0,25K,0,0,,F2,0,33,43.02,-98.3
10112158,SOUTH DAKOTA,46,1973,June,Tornado,1,0,0,0,2.5K,0,0,,F1,0,33,45.5,-97.3
10116796,PENNSYLVANIA,42,1973,October,Tornado,1,0,0,0,250K,0,0,,F1,1,60,41.1,-79.65
10041613,MICHIGAN,26,1973,June,Tornado,1,0,0,0,2.5K,0,0,,F0,0.3,33,43.08,-83.83
10057928,MISSOURI,29,1973,June,Tornado,1,0,0,0,250K,0,0,,F2,0.3,100,37.95,-91.77
10053895,MISSISSIPPI,28,1973,December,Tornado,6,0,0,0,25K,0,0,,F2,12.5,30,33.4,-91.05
10057962,MISSOURI,29,1973,June,Tornado,1,0,0,0,250K,0,0,,F1,1,300,36.75,-90.38
9980025,ARKANSAS,5,1973,December,Tornado,1,0,0,0,250K,0,0,,F1,0.2,50,33.33,-93.3
9978208,ALABAMA,1,1973,December,Tornado,1,0,0,0,25K,0,0,,F2,3.8,50,30.53,-88.22
9978213,ALABAMA,1,1973,December,Tornado,1,0,0,0,25K,0,0,,F2,0.1,27,33.03,-86.08
9978227,ALABAMA,1,1973,December,Tornado,1,0,0,0,250K,0,0,,F2,0.3,100,34.28,-86.02
10057051,MISSOURI,29,1973,January,Tornado,1,0,0,0,250K,0,0,,F2,4.3,100,36.68,-90.83
10057052,MISSOURI,29,1973,January,Tornado,1,0,0,0,25K,0,0,,F1,4.7,100,36.88,-89.83
9987333,CONNECTICUT,9,1973,June,Tornado,1,0,0,0,2.5K,0,0,,F1,0.2,23,41.82,-72.92
10015988,INDIANA,18,1973,December,Tornado,1,0,0,0,25K,0,0,,F1,0.5,3,41.42,-86.12
10085831,OHIO,39,1973,June,Tornado,1,0,0,0,2.5K,0,0,,F0,0.3,100,40.2,-83.28
10019371,INDIANA,18,1973,June,Tornado,1,0,0,0,25K,0,0,,F1,1,20,41.42,-85.02
10008396,ILLINOIS,17,1973,December,Tornado,1,0,0,0,0K,0,0,,F2,0,33,39.58,-90.25
10020299,KANSAS,20,1973,October,Tornado,15,0,0,0,250K,0,0,,F2,0.7,200,37.65,-97.42
10085843,OHIO,39,1973,June,Tornado,1,0,0,0,25K,0,0,,F1,2,33,41.1,-83.67
10136132,TEXAS,48,1973,January,Tornado,1,0,0,0,25K,0,0,,F2,0.5,100,32.15,-95.28
9999387,FLORIDA,12,1973,January,Tornado,1,0,0,0,25K,0,0,,F1,2,20,28.33,-82.17
10132018,TEXAS,48,1973,October,Tornado,1,0,0,0,25K,0,0,,F2,1.1,50,29.75,-97.25
9998584,FLORIDA,12,1980,June,Tornado,1,0,0,0,2.5M,0,0,,F1,5.6,100,26.63,-80.17
10098860,OHIO,39,1980,June,Tornado,15,0,0,0,25M,0,0,,F1,6.2,70,39.23,-84.47
10098901,OHIO,39,1980,June,Tornado,1,0,0,0,2.5M,0,0,,F1,0.3,50,40.63,-81.78
10061831,MISSISSIPPI,28,1980,October,Tornado,1,0,0,0,250K,0,0,,F2,1,100,31.7,-89.22
9998592,FLORIDA,12,1980,June,Tornado,1,0,0,0,250K,0,0,,F1,0.5,50,30.17,-85.67
10018451,INDIANA,18,1980,June,Tornado,6,0,0,0,0K,0,0,,F2,0,33,39.78,-86.15
10147708,WEST VIRGINIA,54,1980,June,Tornado,15,0,0,0,2.5M,0,0,,F3,21.9,33,39.5,-79.87
