year,country,co2,co2_per_capita,co2_per_unit_energy,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
1950,Fiji,0.121,0.418,0.0,0.026,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Finland,6.545,1.633,0.0,4.748,0.367,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27176333100.0,0.0,0.0,0.0
1950,France,202.429,4.839,0.0,166.851,3.562,0.0,0.447,31.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351453788000.0,0.0,0.0,0.0
1950,French Equatorial Africa,0.176,0.0,0.0,0.018,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,French Guiana,0.007,0.288,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,French West Africa,1.297,0.0,0.0,0.253,0.029,0.0,0.0,1.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Gambia,0.015,0.048,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266122000.0,0.0,0.0,0.0
1950,Georgia,2.755,0.781,0.0,1.062,0.026,0.0,0.189,1.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Germany,510.682,7.299,0.0,496.901,6.171,0.0,0.044,7.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422965102392.0,0.0,0.0,0.0
1950,Ghana,0.638,0.127,0.0,0.169,0.0,0.0,0.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9471847752.0,0.0,0.0,0.0
1950,Greece,4.128,0.538,0.0,0.912,0.196,0.0,0.0,3.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23091517456.0,0.0,0.0,0.0
1950,Greenland,0.099,4.302,0.0,0.081,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Grenada,0.007,0.096,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Guadeloupe,0.062,0.297,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Guatemala,0.619,0.199,0.0,0.0,0.022,0.0,0.0,0.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9865907248.0,0.0,0.0,0.0
1950,Guinea-Bissau,0.007,0.014,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264849816.0,0.0,0.0,0.0
1950,Guyana,0.26,0.64,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Haiti,0.114,0.035,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5543630000.0,0.0,0.0,0.0
1950,Honduras,0.3,0.194,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2888660046.0,0.0,0.0,0.0
1950,Hong Kong,1.319,0.668,0.0,0.469,0.033,0.0,0.0,0.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8001618799.252,0.0,0.0,0.0
1950,Hungary,18.39,1.969,0.0,15.708,0.396,0.0,0.703,1.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36913114000.0,0.0,0.0,0.0
1950,Iceland,0.74,5.188,0.0,0.231,0.0,0.0,0.0,0.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1214687124.0,0.0,0.0,0.0
1950,India,61.177,0.163,0.0,52.635,1.354,0.0,0.0,7.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354333000000.0,0.0,0.0,0.0
1950,Indonesia,9.831,0.141,0.0,2.042,0.0,0.0,1.191,6.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105742754470.4,0.0,0.0,0.0
1950,International transport,128.394,0.0,0.0,0.0,0.0,0.0,0.0,128.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Iran,84.118,4.914,0.0,0.531,0.033,0.0,0.0,83.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44850894000.0,0.0,0.0,0.0
1950,Iraq,1.649,0.288,0.0,0.004,0.033,0.0,0.0,1.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11225325082.0,0.0,0.0,0.0
1950,Ireland,9.726,3.339,0.0,8.523,0.218,0.0,0.0,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16308451072.0,0.0,0.0,0.0
1950,Israel,1.669,1.327,0.0,0.07,0.189,0.0,0.0,1.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5774728190.0,0.0,0.0,0.0
1950,Italy,41.431,0.889,0.0,24.572,2.475,0.0,0.956,13.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262940110000.0,0.0,0.0,0.0
1950,Jamaica,0.271,0.193,0.0,0.043,0.0,0.0,0.0,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2928323250.0,0.0,0.0,0.0
1950,Japan,102.541,1.238,0.0,95.729,2.206,0.0,0.136,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256610910000.0,0.0,0.0,0.0
1950,Jordan,0.172,0.358,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1487884354.0,0.0,0.0,0.0
1950,Kazakhstan,45.087,6.726,0.0,40.661,0.329,0.0,0.129,3.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Kenya,0.909,0.15,0.0,0.117,0.0,0.0,0.0,0.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6353788992.0,0.0,0.0,0.0
1950,Kuwait,0.385,2.513,0.0,0.0,0.0,0.0,0.0,0.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6664091994.0,0.0,0.0,0.0
1950,Kyrgyzstan,3.988,2.292,0.0,3.117,0.057,0.0,0.028,0.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Latvia,4.507,2.339,0.0,1.832,0.02,0.0,0.071,2.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Lebanon,1.512,1.133,0.0,0.004,0.131,0.0,0.0,1.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5281524160.0,0.0,0.0,0.0
1950,Leeward Islands,0.018,0.0,0.0,0.004,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Liberia,0.048,0.051,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2596424000.0,0.0,0.0,0.0
1950,Libya,0.143,0.127,0.0,0.015,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596009100.0,0.0,0.0,0.0
