year,co2,co2_per_capita,co2_per_unit_energy,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
2002,95821.331,1195.931,44.79499999999997,33664.937,2819.711,1059.659,19810.724000000002,37668.27199999998,798.0339999999998,81921.51,1624.6899999999996,15505.920000000002,398.846,5558.410000000002,116.92000000000004,18904732923.0,63953670016411.7,285480.038,5189456.594000001,307.77800000000013
2003,100340.41400000003,1226.9139999999993,45.565000000000026,36244.23099999999,3008.6070000000004,1072.494,20597.971,38599.816,817.306,83786.97,1655.3940000000002,15574.77,405.78299999999996,5590.6500000000015,115.25599999999996,19142941769.0,66584576373340.36,294247.49799999996,5266017.188999999,303.4650000000001
2004,104330.57900000001,1244.5520000000006,47.813,38187.358000000015,3208.2629999999995,1153.4239999999995,21267.547999999995,39659.29500000001,854.6999999999997,87169.93000000002,1582.9940000000006,15905.020000000002,387.312,5721.690000000002,113.22400000000005,19382840348.0,70327836198981.39,306876.05499999993,5394015.693999999,293.3739999999999
2005,107354.795,1245.04,45.085,40176.00599999999,3382.893,1231.6750000000004,21761.887000000002,39912.55100000005,889.7789999999999,88922.68999999999,1633.5320000000013,15862.420000000004,394.312,5711.68,113.79100000000001,19625063848.0,73983769745400.28,315477.6900000001,5488770.841999998,275.51300000000003
2006,110616.39900000003,1258.9429999999998,45.22099999999998,42347.05999999999,3665.1670000000004,1251.166,22274.328999999998,40150.758999999984,927.926,89660.60000000003,1558.9909999999995,16206.970000000003,381.29900000000015,5770.060000000002,111.76600000000006,19869883314.0,78228729416271.02,322787.2879999999,5557152.081000001,262.926
2007,113346.855,1275.3629999999994,44.96400000000002,44214.592000000004,3923.4550000000013,1309.0760000000005,22889.285000000007,40057.955000000016,952.4910000000002,91292.80999999998,1574.1739999999995,16237.040000000005,383.26900000000006,5867.580000000002,112.67700000000004,20117161171.0,82531274487857.67,331239.00399999996,5601194.435,247.4270000000001
2008,115021.01300000006,1261.9850000000001,45.300000000000026,45324.254,3960.1370000000006,1346.4519999999998,23529.04,39914.25600000001,946.878,91931.67,1537.6990000000017,16370.360000000002,370.6160000000001,5816.430000000003,110.49900000000005,20366582481.0,85019591615793.8,333908.96599999996,5626631.596000005,236.63199999999995
2009,112661.08099999999,1205.4660000000003,44.86999999999999,44364.845,3999.7239999999993,1367.861,22898.865,39165.234,864.5629999999998,91581.41999999995,1463.960000000001,16493.849999999995,359.60599999999977,5797.39,104.50100000000008,20617614099.0,85088305681098.3,326803.645,5371971.834,237.8009999999999
2010,118593.91999999997,1210.3909999999992,44.980000000000004,47355.31800000001,4244.626000000001,1371.7110000000002,24681.803000000007,40055.51700000002,884.9420000000001,94910.20999999996,1505.894999999999,16656.600000000002,366.5979999999998,5910.030000000001,108.82900000000005,20869780256.0,179943474008527.8,341751.05699999986,5572348.533999999,234.94599999999994
2011,122025.59199999996,1209.6330000000003,46.03300000000001,49941.865000000005,4552.297,1329.3600000000001,25204.017000000014,40016.47800000001,981.5790000000002,97131.87999999998,1445.3919999999998,16856.779999999995,361.2650000000003,6066.970000000001,112.49400000000003,21122884277.0,93917111772217.95,348091.982,5474134.4180000005,223.30300000000005
2012,123738.51800000003,1211.5130000000004,45.61499999999999,50574.672,4660.449000000001,1358.6220000000003,25563.30899999999,40599.39000000001,982.0990000000002,98226.62,1430.2840000000015,17055.360000000004,351.99900000000014,6121.200000000003,108.00499999999998,21376777608.0,96616655666727.23,351233.43400000007,5499730.4290000005,220.56000000000017
2013,124342.031,1184.8250000000003,45.19699999999999,50721.617999999995,4854.534000000002,1377.4519999999998,25616.630999999994,40734.166000000005,1037.6329999999998,99454.06,1446.3,17003.170000000006,352.7599999999999,6065.7400000000025,105.17800000000003,21631030847.0,99625310973537.86,357407.51000000007,5501939.931999999,217.66100000000006
2014,124746.83699999997,1185.569,45.631,50613.511,5031.529999999999,1406.214,25839.961000000018,40785.93099999999,1069.6930000000002,100329.01000000001,1405.7149999999997,17295.460000000006,342.9859999999998,6185.170000000001,103.4540000000001,21885146618.0,102844537132487.67,359364.7299999998,5466506.743999998,213.78000000000006
2015,124780.49499999992,1175.3919999999998,44.90899999999998,49577.438999999984,4853.371000000002,1362.3530000000003,26275.669000000005,41651.195000000014,1060.474,101106.26000000001,1480.9630000000006,17650.220000000005,362.5130000000003,6291.9900000000025,107.66900000000003,22138652904.0,105693904487715.02,361480.2989999998,5528647.374,212.0269999999999
2016,124705.64199999993,1156.8310000000008,44.924000000000014,48325.275000000016,4990.526999999999,1438.1220000000003,27011.160000000007,41892.05800000002,1048.509,100041.92000000001,1415.3780000000008,17424.08,345.51900000000023,6291.93,105.00500000000011,22391313314.0,214707580732065.0,366170.1810000001,5562418.068,208.58900000000006
2017,126304.71600000009,1156.2509999999995,18.863000000000003,48587.78900000002,5067.569,1576.2649999999996,27603.881000000016,42412.614,1056.5840000000003,0.0,0.0,0.0,0.0,0.0,0.0,22642807504.0,221173818591763.0,366923.31700000004,3678183.7050000015,0.0
2018,128452.53799999997,1152.783,18.444000000000003,49368.748000000036,5286.347000000001,1531.205,28781.873000000007,42422.167999999976,1062.2069999999999,0.0,0.0,0.0,0.0,0.0,0.0,22891835944.0,227645362668574.7,376507.961,3698476.648,0.0
2019,128422.88699999997,1165.0000000000005,18.141999999999996,48731.161000000015,5408.6770000000015,1611.674,29061.767999999996,42547.57800000002,1062.0159999999996,0.0,0.0,0.0,0.0,0.0,0.0,23138946190.0,0.0,380148.48699999996,3659567.475,0.0
2020,121592.74599999996,1076.4279999999999,0.0,46429.31600000001,5470.589000000002,1613.384,28391.506000000005,38641.76300000002,1046.186,0.0,0.0,0.0,0.0,0.0,0.0,23382917330.0,0.0,0.0,0.0,0.0
